"","input","filtered","nonchim","filter.loss"
"AFI1718_filt.fastq.gz",25118,22010,21621,0.12373596623935
"AFI1719_filt.fastq.gz",11215,9982,9982,0.109942041908159
"AFI1720_filt.fastq.gz",30736,27948,27643,0.0907079646017699
"AFI1721_filt.fastq.gz",18528,16294,15452,0.12057426597582
"AFI1722_filt.fastq.gz",103627,99097,98906,0.0437144759570382
"AFI1723_filt.fastq.gz",47194,41258,40503,0.12577870068229
"AFI1724_filt.fastq.gz",24959,22519,22262,0.0977603269361753
"AFI1725_filt.fastq.gz",39467,34817,34817,0.11781995084501
"AFI1726_filt.fastq.gz",32994,28870,28636,0.124992422864763
"AFI1727_filt.fastq.gz",49904,44470,43944,0.108889067008657
"AFI1728_filt.fastq.gz",24184,21655,21530,0.104573271584519
"AFI1729_filt.fastq.gz",28051,23916,23547,0.147410074507148
"AFI1730_filt.fastq.gz",44391,40202,40109,0.0943659750850398
"AFI1731_filt.fastq.gz",59906,54709,54709,0.0867525790404968
"AFI1732_filt.fastq.gz",41815,36709,36607,0.122109290924309
"AFI1733_filt.fastq.gz",63014,56245,56243,0.107420573205954
"AFI1734_filt.fastq.gz",78903,70840,70219,0.102188763418374
"AFI1735_filt.fastq.gz",3408,2637,2637,0.226232394366197
"AFI1736_filt.fastq.gz",9177,7676,7676,0.163561076604555
"AFI1737_filt.fastq.gz",4831,3818,3818,0.2096874353136
"AFI1738_filt.fastq.gz",8285,6977,6977,0.157875678937839
"AFI1739_filt.fastq.gz",4543,3392,3392,0.253356812678847
"AFI1740_filt.fastq.gz",2501,1878,1878,0.249100359856058
"AFI1741_filt.fastq.gz",6493,4922,4922,0.241952872324041
"AFI1742_filt.fastq.gz",1878,1518,1518,0.191693290734824
"AFI1743_filt.fastq.gz",26426,24003,23617,0.0916900022704912
"AFI1744_filt.fastq.gz",6102,5098,5098,0.164536217633563
"AFI1745_filt.fastq.gz",6349,4926,4926,0.224129784217987
"AFI1746_filt.fastq.gz",3327,2461,2461,0.26029455966336
"AFI1747_filt.fastq.gz",2214,1209,1209,0.453929539295393
"AFI1748_filt.fastq.gz",21117,19089,19089,0.0960363688023867
"AFI1749_filt.fastq.gz",13961,12009,12009,0.139818064608552
"AFI1750_filt.fastq.gz",6080,5239,5239,0.138322368421053
"AFI1751_filt.fastq.gz",4152,3271,3271,0.212186897880539
"AFI1752_filt.fastq.gz",4978,3852,3852,0.226195259140217
"AFI1753_filt.fastq.gz",2919,2132,2132,0.269612881123672
"AFI1754_filt.fastq.gz",2751,2040,2040,0.25845147219193
"AFI1755_filt.fastq.gz",4762,3567,3567,0.250944981100378
"AFI1756_filt.fastq.gz",8986,7502,7502,0.165145782328066
"AFI1757_filt.fastq.gz",5518,4015,4015,0.272381297571584
"AFI1758_filt.fastq.gz",6083,4777,4777,0.214696695709354
"AFI1759_filt.fastq.gz",4114,2971,2971,0.277831793874575
"AFI1760_filt.fastq.gz",10173,8426,8426,0.171729086798388
"AFI1761_filt.fastq.gz",15564,12718,12659,0.182857877152403
"AFI1762_filt.fastq.gz",6259,4701,4673,0.248921552963732
"AFI1763_filt.fastq.gz",10793,9101,9101,0.156768275734272
"AFI1764_filt.fastq.gz",8776,7470,7470,0.148814949863263
"AFI1765_filt.fastq.gz",23629,21119,21107,0.106225400990309
"AFI1766_filt.fastq.gz",39905,34892,34231,0.125623355469239
"AFI1767_filt.fastq.gz",52335,45232,44635,0.135721792299608
"AFI1768_filt.fastq.gz",29537,26169,26036,0.114026475268308
"AFI1769_filt.fastq.gz",11189,10200,10200,0.0883903834122799
"AFI1770_filt.fastq.gz",36525,31389,30578,0.140616016427105
"AFI1771_filt.fastq.gz",44991,39137,39129,0.130114911871263
"AFI1772_filt.fastq.gz",31844,28171,27978,0.115343549805301
"AFI1773_filt.fastq.gz",64631,57174,56757,0.115378069347527
